city_id,city_name,country,latitude,longitude,weather_date,temp,humidity,cloudiness,wind_speed
3397851,Itupiranga,BR,-5.13,-49.33,10/26/20,            80.53,71,23,0.72
2163355,Hobart,AU,-42.88,147.33,10/26/20,            55.18,54,75,6.93
1337607,Kudahuvadhoo,MV,2.67,72.89,10/26/20,            82.31,74,10,7.16
2094342,Kavieng,PG,-2.57,150.8,10/26/20,            85.41,61,73,6.15
2112309,Katsuura,JP,35.13,140.3,10/26/20,            62.19,63,75,12.75
3369157,Cape Town,ZA,-33.93,18.42,10/26/20,            61.97,82,0,6.93
1015776,Bredasdorp,ZA,-34.53,20.04,10/26/20,            64.4,88,90,8.05
3418910,Upernavik,GL,72.79,-56.15,10/26/20,            17.91,82,99,4.9
3899539,Antofagasta,CL,-23.65,-70.4,10/26/20,            59,77,90,12.75
6050066,La Ronge,CA,55.1,-105.28,10/26/20,            28.4,58,75,8.05
3385077,Conde,BR,-7.26,-34.91,10/26/20,            78.8,83,40,4.7
4863349,Keokuk,US,40.4,-91.38,10/26/20,            33.15,88,90,8.05
757809,Sulejówek,PL,52.25,21.27,10/26/20,            54.61,84,64,11.12
3393017,Parelhas,BR,-6.69,-36.66,10/26/20,            74.8,73,5,13.87
4034551,Faanui,PF,-16.48,-151.75,10/26/20,            80.62,77,74,18.01
2122262,Palana,RU,59.12,159.97,10/26/20,            38.26,77,95,8.93
1151253,Phuket,TH,8,98.25,10/26/20,            81.63,88,40,5.82
5880054,Barrow,US,71.29,-156.79,10/26/20,            19.4,85,90,6.93
1278354,Arsikere,IN,13.31,76.26,10/26/20,            67.06,80,0,1.79
3357114,Grootfontein,NA,-19.57,18.12,10/26/20,            70.9,37,74,14.2
6170031,Tuktoyaktuk,CA,69.45,-133.04,10/26/20,            10.4,78,40,13.87
964432,Port Alfred,ZA,-33.59,26.89,10/26/20,            66.76,85,90,26.84
7671223,Kloulklubed,PW,7.04,134.26,10/26/20,            84.2,74,75,6.58
2171722,Charters Towers,AU,-20.1,146.27,10/26/20,            84.88,40,98,4.7
1517060,Zaysan,KZ,47.47,84.87,10/26/20,            35.56,74,18,1.88
1698621,Nagtipunan,PH,16.22,121.6,10/26/20,            75.38,85,100,1.43
2411397,Georgetown,SH,-7.93,-14.42,10/26/20,            73.4,78,20,16.11
2508807,Adrar,DZ,25.75,-1,10/26/20,            76.01,25,40,4.52
2315026,Kasongo-Lunda,CD,-6.47,16.82,10/26/20,            70.43,85,86,1.74
1065158,Farafangana,MG,-22.82,47.83,10/26/20,            68.56,86,2,3.65
2206939,Bluff,NZ,-46.6,168.33,10/26/20,            55,70,52,4
3372707,Ribeira Grande,PT,38.52,-28.7,10/26/20,            68.61,92,98,17.18
2458334,Douentza,ML,15,-2.95,10/26/20,            77.65,16,61,2.59
1691973,Quisao,PH,14.43,121.33,10/26/20,            80.87,83,75,8.05
2017155,Saskylakh,RU,71.92,114.08,10/26/20,            -1.08,91,92,5.75
3443061,Chui,UY,-33.7,-53.46,10/26/20,            57.15,83,100,13.2
2191911,Dargaville,NZ,-35.93,173.88,10/26/20,            71.13,58,33,6.82
777019,Vardø,NO,70.37,31.11,10/26/20,            35.6,84,75,12.75
352628,Maţāy,EG,28.42,30.78,10/26/20,            68.27,85,0,9.51
3933024,Paramonga,PE,-10.67,-77.83,10/26/20,            64.08,83,100,8.48
935215,Saint-Philippe,RE,-21.36,55.77,10/26/20,            68.38,78,90,3.36
3351014,Camacupa,AO,-12.02,17.48,10/26/20,            66.74,78,99,4.85
215527,Kabinda,CD,-6.13,24.48,10/26/20,            68.56,96,100,3.67
2077963,Albany,AU,-35.02,117.89,10/26/20,            60.8,82,6,10.29
1649150,Bengkulu,ID,-3.8,102.27,10/26/20,            75.76,79,100,2.62
286245,Sur,OM,22.57,59.53,10/26/20,            69.19,64,0,3.58
1641333,Karanganom,ID,-7.65,110.62,10/26/20,            77,88,75,4.7
2121385,Severo-Kuril'sk,RU,50.68,156.12,10/26/20,            44.58,81,93,4.79
3985710,Cabo San Lucas,MX,22.89,-109.91,10/26/20,            85.05,58,5,13.87
2184397,Porirua,NZ,-41.13,174.85,10/26/20,            50.32,44,100,8.01
5969025,Haines Junction,CA,60.75,-137.51,10/26/20,            38.91,73,21,10.96
4274277,Lawrence,US,38.97,-95.24,10/26/20,            29.88,80,90,9.17
1058381,Morondava,MG,-20.28,44.28,10/26/20,            74.3,70,37,2.68
3386213,Touros,BR,-5.2,-35.46,10/26/20,            78.8,83,40,5.82
934479,Grand Gaube,MU,-20.01,57.66,10/26/20,            72,77,2,4
2145214,Victoria Point,AU,-27.58,153.3,10/26/20,            75.13,73,61,10
6539213,Pachino,IT,36.72,15.09,10/26/20,            56.08,93,0,3.36
1307741,Myitkyina,MM,25.38,97.4,10/26/20,            69.66,86,5,1.92
2276492,Harper,LR,4.38,-7.72,10/26/20,            77.58,90,76,9.01
479071,Umba,RU,66.69,34.34,10/26/20,            43.45,93,100,12.41
5017822,Bemidji,US,47.47,-94.88,10/26/20,            21.76,53,1,6.93
6185377,Yellowknife,CA,62.46,-114.35,10/26/20,            22.57,67,75,6.93
1516048,Khovd,MN,48.01,91.64,10/26/20,            27.28,81,0,0.11
4164253,Micco,US,27.88,-80.5,10/26/20,            79.63,97,15,1.99
3695844,Lagunas,PE,-5.23,-75.68,10/26/20,            81.93,71,91,2.26
1856392,Muroto-misakicho,JP,33.28,134.15,10/26/20,            60.8,77,40,10.29
2172797,Cairns,AU,-16.92,145.77,10/26/20,            87.03,51,98,5.82
3652764,Puerto Ayora,EC,-0.74,-90.35,10/26/20,            69.01,89,67,4
